"","qweek","gender","age","region","household_size","household_children","employment_status","WCRex1"
"3783","week 4","Male",38,"East Java","3","0","Full time employment","Somewhat badly"
"3784","week 4","Female",23,"Jakarta (Special Capital Region)","4","0","Full time employment","Somewhat badly"
"3785","week 4","Male",52,"East Java","2","0","Not working","Very well"
"3786","week 4","Female",30,"Jakarta (Special Capital Region)","2","1","Full time employment","Somewhat well"
"3787","week 4","Male",28,"West Java","4","0","Full time employment","Don't know"
"3788","week 4","Male",27,"North Sumatra","6","5 or more","Full time employment","Somewhat well"
"3789","week 4","Female",57,"West Java","3","0","Retired","Don't know"
"3790","week 4","Female",40,"Jakarta (Special Capital Region)","2","0","Other","Don't know"
"3791","week 4","Male",44,"Banten","4","2","Other","Somewhat well"
"3792","week 4","Male",27,"West Java","Prefer not to say","0","Full time employment","Somewhat well"
"3793","week 4","Male",30,"Banten","3","1","Full time employment","Somewhat well"
"3794","week 4","Male",20,"Other","Prefer not to say","0","Part time employment","Very well"
"3795","week 4","Female",21,"West Java","5","1","Full time student","Somewhat well"
"3796","week 4","Male",43,"West Java","5","3","Full time employment","Very well"
"3797","week 4","Female",24,"South Sulawesi","5","1","Unemployed","Don't know"
"3798","week 4","Male",36,"Papua","6","2","Full time employment","Very well"
"3799","week 4","Male",29,"North Kalimantan","5","1","Full time employment","Don't know"
"3800","week 4","Male",34,"Jakarta (Special Capital Region)","3","1","Full time employment","Somewhat badly"
"3801","week 4","Male",38,"South Sumatra","5","3","Full time employment","Don't know"
"3802","week 4","Male",37,"Jakarta (Special Capital Region)","5","3","Unemployed","Don't know"
"3803","week 4","Female",22,"Bali","2","0","Full time employment","Very well"
"3804","week 4","Male",27,"East Kalimantan","6","1","Unemployed","Don't know"
"3805","week 4","Male",32,"Banten","5","2","Part time employment","Somewhat badly"
"3806","week 4","Female",32,"West Kalimantan","2","0","Full time employment","Somewhat badly"
"3807","week 4","Female",29,"West Java","1","0","Full time employment","Somewhat badly"
"3808","week 4","Male",24,"Yogyakarta (Special Region)","Prefer not to say","0","Full time student","Don't know"
"3809","week 4","Male",52,"South Kalimantan","4","1","Full time employment","Don't know"
"3810","week 4","Male",21,"South Kalimantan","5","2","Full time student","Don't know"
"3811","week 4","Female",22,"West Java","4","0","Full time employment","Very well"
"3812","week 4","Male",25,"East Java","4","2","Full time employment","Somewhat well"
"3813","week 4","Male",25,"Riau","5","3","Part time employment","Don't know"
"3814","week 4","Female",30,"East Java","3","1","Full time employment","Don't know"
"3815","week 4","Female",21,"South Kalimantan","5","0","Full time student","Somewhat well"
"3816","week 4","Male",25,"West Java","4","1","Not working","Somewhat well"
"3817","week 4","Male",27,"Jakarta (Special Capital Region)","1","0","Full time employment","Somewhat badly"
"3818","week 4","Female",20,"South Sulawesi","5","1","Full time employment","Somewhat badly"
"3819","week 4","Female",34,"Jakarta (Special Capital Region)","2","0","Full time employment","Don't know"
"3820","week 4","Male",18,"South Sulawesi","6","2","Part time employment","Somewhat well"
"3821","week 4","Female",30,"Jakarta (Special Capital Region)","5","1","Full time employment","Somewhat badly"
"3822","week 4","Male",28,"Jakarta (Special Capital Region)","4","2","Part time employment","Somewhat well"
"3823","week 4","Female",59,"Bali","1","0","Retired","Don't know"
"3824","week 4","Male",43,"Central Java","4","2","Full time employment","Somewhat badly"
"3825","week 4","Female",23,"East Java","3","1","Not working","Somewhat well"
"3826","week 4","Female",47,"East Java","3","0","Part time employment","Don't know"
"3827","week 4","Male",23,"Central Java","4","0","Full time employment","Don't know"
"3828","week 4","Male",34,"East Java","6","2","Full time employment","Don't know"
"3829","week 4","Female",51,"Bali","5","0","Part time employment","Don't know"
"3830","week 4","Female",50,"West Java","4","1","Not working","Very well"
"3831","week 4","Male",33,"East Java","4","1","Full time employment","Very badly"
"3832","week 4","Female",28,"Banten","5","1","Not working","Somewhat well"
"3833","week 4","Male",18,"East Java","4","0","Full time student","Somewhat well"
"3834","week 4","Male",23,"Bangka–Belitung Islands","4","0","Not working","Somewhat well"
"3835","week 4","Male",30,"Jakarta (Special Capital Region)","4","0","Full time employment","Very well"
"3836","week 4","Male",29,"Jakarta (Special Capital Region)","4","1","Full time employment","Very well"
"3837","week 4","Male",28,"Bangka–Belitung Islands","1","2","Part time employment","Very well"
"3838","week 4","Female",26,"West Java","2","0","Part time employment","Somewhat well"
"3839","week 4","Female",29,"North Sumatra","3","0","Part time employment","Somewhat badly"
"3840","week 4","Male",24,"East Java","4","1","Full time employment","Don't know"
"3841","week 4","Male",60,"West Java","5","2","Part time employment","Very well"
"3842","week 4","Female",25,"Central Java","4","1","Part time employment","Somewhat well"
"3843","week 4","Female",28,"West Kalimantan","5","1","Full time employment","Somewhat well"
"3844","week 4","Male",26,"East Java","4","1","Full time employment","Somewhat well"
"3845","week 4","Female",34,"East Java","4","2","Unemployed","Somewhat badly"
"3846","week 4","Female",21,"Aceh (Special Region)","3","2","Part time employment","Very well"
"3847","week 4","Male",26,"Jakarta (Special Capital Region)","5","1","Full time employment","Somewhat well"
"3848","week 4","Male",31,"West Java","4","1","Part time employment","Somewhat well"
"3849","week 4","Female",31,"West Java","7","5 or more","Not working","Don't know"
"3850","week 4","Female",28,"Lampung","4","2","Unemployed","Very well"
"3851","week 4","Female",46,"East Java","2","0","Part time employment","Very well"
"3852","week 4","Female",31,"Jakarta (Special Capital Region)","8 or more","2","Part time employment","Don't know"
"3853","week 4","Female",33,"West Java","4","2","Not working","Don't know"
"3854","week 4","Female",28,"Lampung","3","1","Part time employment","Somewhat badly"
"3855","week 4","Female",35,"East Java","3","1","Full time employment","Somewhat badly"
"3856","week 4","Male",32,"West Nusa Tenggara","3","1","Full time employment","Very well"
"3857","week 4","Female",26,"Jakarta (Special Capital Region)","5","0","Full time employment","Somewhat well"
"3858","week 4","Male",20,"Bengkulu","5","2","Part time employment","Don't know"
"3859","week 4","Male",48,"Jakarta (Special Capital Region)","4","1","Part time employment","Somewhat badly"
"3860","week 4","Male",32,"West Java","2","0","Full time employment","Somewhat well"
"3861","week 4","Female",27,"Central Java","4","1","Part time employment","Very well"
"3862","week 4","Female",24,"Banten","2","0","Full time employment","Don't know"
"3863","week 4","Male",22,"Jakarta (Special Capital Region)","5","Prefer not to say","Part time employment","Somewhat well"
"3864","week 4","Female",19,"East Java","4","1","Full time employment","Very well"
"3865","week 4","Female",24,"East Kalimantan","5","1","Full time student","Somewhat well"
"3866","week 4","Male",24,"Jakarta (Special Capital Region)","4","0","Full time employment","Don't know"
"3867","week 4","Female",21,"Yogyakarta (Special Region)","5","2","Full time student","Don't know"
"3868","week 4","Male",21,"East Java","3","0","Full time student","Very badly"
"3869","week 4","Male",24,"South Sulawesi","3","0","Part time employment","Somewhat well"
"3870","week 4","Female",31,"Jakarta (Special Capital Region)","6","1","Full time employment","Don't know"
"3871","week 4","Male",19,"North Sulawesi","Don't know","Prefer not to say","Not working","Very badly"
"3872","week 4","Male",48,"East Java","4","1","Other","Somewhat well"
"3873","week 4","Male",45,"North Sumatra","3","0","Full time employment","Very well"
"3874","week 4","Male",24,"West Java","1","1","Full time employment","Somewhat badly"
"3875","week 4","Female",24,"Central Java","3","0","Unemployed","Very well"
"3876","week 4","Male",21,"Central Java","5","2","Unemployed","Very well"
"3877","week 4","Male",20,"West Java","3","1","Part time employment","Don't know"
"3878","week 4","Female",23,"Central Java","Prefer not to say","Prefer not to say","Not working","Somewhat well"
"3879","week 4","Male",21,"Bali","5","3","Part time employment","Very well"
"3880","week 4","Male",22,"West Java","2","0","Full time student","Don't know"
"3881","week 4","Female",20,"East Java","4","0","Full time student","Somewhat well"
"3882","week 4","Male",64,"Jakarta (Special Capital Region)","5","1","Retired","Very well"
"3883","week 4","Male",22,"West Java","3","1","Part time employment","Somewhat well"
"3884","week 4","Female",23,"Lampung","2","0","Full time employment","Somewhat badly"
"3885","week 4","Male",23,"East Java","2","0","Not working","Don't know"
"3886","week 4","Male",49,"Lampung","5","2","Unemployed","Somewhat badly"
"3887","week 4","Male",20,"Riau","7","1","Full time employment","Don't know"
"3888","week 4","Female",23,"North Sumatra","6","1","Unemployed","Somewhat well"
"3889","week 4","Male",22,"Jakarta (Special Capital Region)","5","4","Full time student","Somewhat well"
"3890","week 4","Male",24,"East Java","4","0","Part time employment","Don't know"
"3891","week 4","Female",45,"Jakarta (Special Capital Region)","3","1","Part time employment","Don't know"
"3892","week 4","Female",24,"East Java","3","0","Full time employment","Somewhat well"
"3893","week 4","Female",21,"West Java","2","0","Full time employment","Don't know"
"3894","week 4","Female",58,"Jakarta (Special Capital Region)","3","0","Not working","Very well"
"3895","week 4","Female",21,"Lampung","4","0","Full time student","Don't know"
"3896","week 4","Female",22,"Riau Islands","5","1","Full time student","Somewhat well"
"3897","week 4","Male",22,"East Java","5","1","Full time student","Somewhat well"
"3898","week 4","Female",56,"East Java","4","0","Part time employment","Very badly"
"3899","week 4","Male",19,"South Sulawesi","5","5 or more","Full time student","Very well"
"3900","week 4","Female",24,"Yogyakarta (Special Region)","7","0","Unemployed","Somewhat well"
"3901","week 4","Male",54,"Yogyakarta (Special Region)","6","3","Part time employment","Don't know"
"3902","week 4","Female",24,"East Java","5","0","Full time employment","Don't know"
"3903","week 4","Male",45,"South Sulawesi","4","2","Not working","Don't know"
"3904","week 4","Male",22,"Central Kalimantan","7","5 or more","Full time student","Somewhat well"
"3905","week 4","Male",22,"West Java","4","0","Part time employment","Somewhat badly"
"3906","week 4","Male",22,"South Sumatra","3","1","Full time student","Somewhat badly"
"3907","week 4","Female",21,"Bangka–Belitung Islands","6","2","Full time student","Somewhat well"
"3908","week 4","Female",21,"East Java","4","0","Full time student","Don't know"
"3909","week 4","Male",46,"South Sumatra","4","2","Full time employment","Don't know"
"3910","week 4","Male",20,"East Java","8 or more","5 or more","Full time employment","Somewhat badly"
"3911","week 4","Male",22,"Central Java","3","0","Full time employment","Somewhat well"
"3912","week 4","Female",48,"West Java","4","1","Not working","Don't know"
"3913","week 4","Male",23,"West Nusa Tenggara","2","0","Full time employment","Somewhat badly"
"3914","week 4","Female",46,"Jakarta (Special Capital Region)","4","2","Not working","Somewhat well"
"3915","week 4","Female",49,"Yogyakarta (Special Region)","4","2","Part time employment","Very well"
"3916","week 4","Female",19,"Central Java","4","0","Full time student","Don't know"
"3917","week 4","Female",24,"South Sumatra","5","1","Full time employment","Somewhat well"
"3918","week 4","Female",23,"Aceh (Special Region)","8 or more","1","Full time employment","Somewhat badly"
"3919","week 4","Male",19,"Lampung","3","1","Unemployed","Very well"
"3920","week 4","Female",49,"Central Java","4","0","Full time employment","Don't know"
"3921","week 4","Female",24,"Central Java","5","1","Full time employment","Don't know"
"3922","week 4","Male",20,"Gorontalo","4","1","Part time employment","Very well"
"3923","week 4","Male",21,"Central Java","3","5 or more","Part time employment","Very well"
"3924","week 4","Female",23,"Jakarta (Special Capital Region)","5","1","Full time student","Somewhat well"
"3925","week 4","Female",22,"West Java","4","0","Full time employment","Don't know"
"3926","week 4","Female",20,"Jakarta (Special Capital Region)","2","2","Full time student","Very badly"
"3927","week 4","Female",22,"South Kalimantan","4","1","Unemployed","Very well"
"3928","week 4","Male",23,"East Java","4","1","Full time employment","Very well"
"3929","week 4","Female",24,"East Java","4","0","Full time student","Somewhat badly"
"3930","week 4","Male",19,"East Java","7","0","Part time employment","Don't know"
"3931","week 4","Male",23,"Jakarta (Special Capital Region)","3","1","Full time employment","Somewhat badly"
"3932","week 4","Female",24,"West Java","5","1","Other","Somewhat well"
"3933","week 4","Female",54,"West Java","3","0","Part time employment","Somewhat badly"
"3934","week 4","Male",21,"Bali","5","2","Full time employment","Very well"
"3935","week 4","Male",55,"South Sumatra","3","0","Full time employment","Somewhat well"
"3936","week 4","Male",19,"South Sulawesi","6","2","Full time student","Very well"
"3937","week 4","Male",22,"Jakarta (Special Capital Region)","5","2","Full time student","Somewhat badly"
"3938","week 4","Female",22,"Jakarta (Special Capital Region)","2","0","Full time student","Somewhat badly"
"3939","week 4","Female",20,"West Java","4","1","Unemployed","Don't know"
"3940","week 4","Female",20,"Jakarta (Special Capital Region)","4","0","Full time student","Don't know"
"3941","week 4","Male",23,"East Java","5","Prefer not to say","Part time employment","Don't know"
"3942","week 4","Male",19,"Yogyakarta (Special Region)","4","0","Part time employment","Somewhat well"
"3943","week 4","Male",20,"Jakarta (Special Capital Region)","8 or more","2","Full time student","Don't know"
"3944","week 4","Male",24,"Central Java","4","1","Full time student","Somewhat well"
"3945","week 4","Female",20,"Southeast Sulawesi","2","1","Unemployed","Don't know"
"3946","week 4","Female",50,"Jakarta (Special Capital Region)","4","0","Not working","Somewhat well"
"3947","week 4","Male",52,"North Sumatra","4","0","Full time employment","Somewhat well"
"3948","week 4","Male",48,"Lampung","Prefer not to say","Prefer not to say","Other","Don't know"
"3949","week 4","Male",22,"Central Java","4","1","Full time student","Don't know"
"3950","week 4","Female",19,"West Java","3","0","Full time student","Very badly"
"3951","week 4","Female",23,"East Java","Prefer not to say","Prefer not to say","Full time student","Somewhat well"
"3952","week 4","Male",23,"Central Sulawesi","4","1","Full time student","Don't know"
"3953","week 4","Male",60,"Aceh (Special Region)","5","0","Retired","Very well"
"3954","week 4","Male",20,"East Kalimantan","3","0","Full time employment","Very well"
"3955","week 4","Female",22,"Central Java","4","0","Full time student","Don't know"
"3956","week 4","Male",22,"Jakarta (Special Capital Region)","3","0","Full time employment","Somewhat well"
"3957","week 4","Male",71,"East Java","2","0","Full time employment","Don't know"
"3958","week 4","Female",46,"East Java","3","1","Not working","Very well"
"3959","week 4","Female",22,"East Java","3","0","Not working","Somewhat well"
"3960","week 4","Male",24,"Banten","5","2","Full time employment","Somewhat well"
"3961","week 4","Male",23,"West Java","4","0","Full time student","Somewhat badly"
"3962","week 4","Female",19,"South Sulawesi","5","0","Full time student","Very well"
"3963","week 4","Female",24,"Central Java","4","2","Part time employment","Somewhat well"
"3964","week 4","Female",18,"West Nusa Tenggara","3","0","Full time student","Somewhat badly"
"3965","week 4","Female",20,"East Java","6","1","Full time student","Somewhat well"
"3966","week 4","Male",23,"Yogyakarta (Special Region)","4","1","Full time student","Don't know"
"3967","week 4","Female",19,"Bangka–Belitung Islands","3","0","Full time student","Somewhat well"
"3968","week 4","Male",23,"Central Java","5","1","Full time employment","Somewhat well"
"3969","week 4","Female",23,"Central Java","5","0","Full time student","Somewhat badly"
"3970","week 4","Female",22,"East Java","2","2","Full time student","Somewhat well"
"3971","week 4","Female",19,"East Kalimantan","8 or more","1","Full time student","Don't know"
"3972","week 4","Female",23,"West Java","5","0","Full time employment","Don't know"
"3973","week 4","Female",20,"West Java","5","2","Full time student","Very well"
"3974","week 4","Male",51,"South Kalimantan","4","2","Full time employment","Very well"
"3975","week 4","Female",23,"Lampung","4","0","Full time employment","Don't know"
"3976","week 4","Female",23,"Yogyakarta (Special Region)","5","2","Full time student","Don't know"
"3977","week 4","Female",21,"Yogyakarta (Special Region)","2","0","Full time employment","Don't know"
"3978","week 4","Male",22,"Jakarta (Special Capital Region)","1","Prefer not to say","Full time employment","Somewhat well"
"3979","week 4","Female",22,"East Java","6","1","Full time student","Somewhat badly"
"3980","week 4","Female",22,"Bali","3","0","Full time student","Somewhat well"
"3981","week 4","Female",23,"West Java","Prefer not to say","Prefer not to say","Full time student","Somewhat badly"
"3982","week 4","Female",19,"West Java","4","0","Full time employment","Don't know"
"3983","week 4","Female",24,"Yogyakarta (Special Region)","6","0","Unemployed","Somewhat badly"
"3984","week 4","Female",23,"East Java","8 or more","2","Not working","Don't know"
"3985","week 4","Female",47,"West Java","4","1","Full time employment","Very well"
"3986","week 4","Female",23,"Bali","3","0","Full time student","Don't know"
"3987","week 4","Female",49,"South Kalimantan","3","0","Not working","Very well"
"3988","week 4","Female",22,"West Sumatra","Don't know","2","Full time student","Somewhat well"
"3989","week 4","Female",21,"Maluku","6","2","Full time student","Somewhat badly"
"3990","week 4","Female",23,"Central Java","5","0","Not working","Don't know"
"3991","week 4","Male",66,"East Java","6","1","Retired","Somewhat well"
"3992","week 4","Female",20,"Bangka–Belitung Islands","3","1","Full time student","Don't know"
"3993","week 4","Female",24,"South Sulawesi","4","0","Part time employment","Very well"
"3994","week 4","Female",20,"Riau","5","2","Full time student","Somewhat well"
"3995","week 4","Female",45,"South Sulawesi","5","2","Full time employment","Somewhat well"
"3996","week 4","Female",21,"West Java","3","0","Full time student","Don't know"
"3997","week 4","Female",23,"West Java","5","1","Part time employment","Somewhat well"
"3998","week 4","Female",19,"Lampung","4","1","Full time student","Very well"
"3999","week 4","Female",24,"Aceh (Special Region)","5","0","Unemployed","Somewhat badly"
"4000","week 4","Female",48,"Banten","4","0","Full time employment","Somewhat well"
"4001","week 4","Female",21,"South Sulawesi","4","1","Full time student","Don't know"
"4002","week 4","Female",46,"Central Java","5","1","Full time employment","Somewhat well"
"4003","week 4","Female",19,"Yogyakarta (Special Region)","4","1","Unemployed","Somewhat well"
"4004","week 4","Female",23,"East Java","7","4","Full time student","Somewhat well"
"4005","week 4","Female",24,"Bali","8 or more","2","Full time student","Somewhat well"
"4006","week 4","Female",55,"West Java","3","0","Part time employment","Don't know"
"4007","week 4","Female",22,"South Kalimantan","4","0","Full time student","Somewhat badly"
"4008","week 4","Female",22,"West Java","3","0","Unemployed","Don't know"
"4009","week 4","Female",21,"Central Java","4","0","Full time student","Somewhat well"
"4010","week 4","Female",51,"Yogyakarta (Special Region)","4","1","Part time employment","Somewhat badly"
"4011","week 4","Female",24,"Southeast Sulawesi","5","1","Not working","Somewhat well"
"4012","week 4","Female",22,"West Nusa Tenggara","3","0","Full time student","Very well"
"4013","week 4","Female",22,"West Sumatra","3","0","Part time employment","Very badly"
"4014","week 4","Female",21,"East Java","6","1","Full time student","Very well"
"4015","week 4","Female",24,"East Java","4","1","Part time employment","Somewhat well"
"4016","week 4","Female",45,"West Nusa Tenggara","7","2","Part time employment","Somewhat badly"
"4017","week 4","Female",22,"Central Java","5","0","Full time employment","Somewhat badly"
"4018","week 4","Female",23,"Yogyakarta (Special Region)","5","0","Full time student","Somewhat badly"
"4019","week 4","Female",21,"Bali","5","1","Other","Very well"
"4020","week 4","Female",23,"Central Java","6","1","Full time student","Somewhat well"
"4021","week 4","Female",20,"Yogyakarta (Special Region)","3","0","Full time student","Don't know"
"4022","week 4","Female",21,"East Java","3","0","Full time employment","Somewhat badly"
"4023","week 4","Female",53,"West Java","2","3","Full time employment","Somewhat badly"
"4024","week 4","Female",20,"Yogyakarta (Special Region)","2","0","Full time student","Somewhat badly"
"4025","week 4","Female",20,"East Java","4","1","Full time student","Very well"
"4026","week 4","Female",23,"Bali","3","0","Not working","Don't know"
"4027","week 4","Female",22,"Riau","7","2","Part time employment","Don't know"
"4028","week 4","Female",24,"Bangka–Belitung Islands","3","1","Part time employment","Very well"
"4029","week 4","Female",23,"West Kalimantan","5","2","Part time employment","Don't know"
"4030","week 4","Female",23,"Aceh (Special Region)","3","1","Full time employment","Somewhat well"
"4031","week 4","Female",21,"Aceh (Special Region)","7","0","Full time student","Don't know"
"4032","week 4","Female",24,"West Java","5","0","Full time employment","Somewhat well"
"4033","week 4","Female",21,"East Java","3","0","Full time employment","Don't know"
"4034","week 4","Female",22,"West Java","5","3","Full time student","Somewhat badly"
"4035","week 4","Female",20,"Yogyakarta (Special Region)","3","0","Full time student","Somewhat well"
"4036","week 4","Female",20,"Yogyakarta (Special Region)","2","0","Part time employment","Very well"
"4037","week 4","Female",22,"Yogyakarta (Special Region)","5","0","Full time student","Somewhat well"
"4038","week 4","Female",51,"Bali","3","0","Unemployed","Somewhat well"
"4039","week 4","Female",21,"East Java","4","0","Full time student","Don't know"
"4040","week 4","Female",22,"West Kalimantan","4","4","Full time student","Don't know"
"4041","week 4","Female",21,"Yogyakarta (Special Region)","4","0","Full time student","Somewhat well"
"4042","week 4","Female",24,"Jakarta (Special Capital Region)","4","0","Full time employment","Don't know"
"4043","week 4","Female",23,"West Java","3","0","Full time student","Somewhat well"
"4044","week 5","Female",21,"Jakarta (Special Capital Region)","3","0","Full time student","Don't know"
"4045","week 5","Male",20,"East Java","4","1","Full time student","Somewhat well"
"4046","week 5","Male",30,"Jakarta (Special Capital Region)","4","2","Full time employment","Somewhat well"
"4047","week 5","Male",26,"Jakarta (Special Capital Region)","1","0","Full time employment","Somewhat well"
"4048","week 5","Male",22,"Central Java","Prefer not to say","Prefer not to say","Full time student","Somewhat badly"
"4049","week 5","Female",23,"East Java","5","1","Part time employment","Somewhat badly"
"4050","week 5","Male",19,"West Java","3","3","Unemployed","Somewhat well"
"4051","week 5","Male",27,"East Java","4","1","Full time employment","Somewhat badly"
"4052","week 5","Female",24,"North Sumatra","5","0","Full time student","Don't know"
"4053","week 5","Female",23,"Yogyakarta (Special Region)","4","0","Full time student","Don't know"
"4054","week 5","Male",27,"East Kalimantan","3","1","Full time employment","Very well"
"4055","week 5","Male",24,"Riau Islands","5","1","Part time employment","Don't know"
"4056","week 5","Male",27,"Jakarta (Special Capital Region)","Prefer not to say","0","Unemployed","Don't know"
"4057","week 5","Male",42,"North Sumatra","5","3","Full time employment","Very well"
"4058","week 5","Male",20,"East Java","4","1","Unemployed","Somewhat badly"
"4059","week 5","Male",30,"Central Java","3","1","Other","Don't know"
"4060","week 5","Male",24,"Jakarta (Special Capital Region)","1","1","Part time employment","Somewhat badly"
"4061","week 5","Male",19,"West Java","5","2","Full time student","Very well"
"4062","week 5","Female",23,"North Sumatra","4","0","Part time employment","Somewhat well"
"4063","week 5","Male",52,"Jambi","4","1","Full time employment","Very well"
"4064","week 5","Female",30,"Yogyakarta (Special Region)","4","0","Full time employment","Somewhat well"
"4065","week 5","Male",20,"Banten","4","1","Full time student","Somewhat well"
"4066","week 5","Male",41,"Jakarta (Special Capital Region)","5","2","Full time employment","Somewhat well"
"4067","week 5","Male",22,"North Sumatra","3","0","Full time student","Very well"
"4068","week 5","Male",31,"Jakarta (Special Capital Region)","4","1","Part time employment","Very well"
"4069","week 5","Female",24,"West Java","Don't know","0","Unemployed","Somewhat badly"
"4070","week 5","Male",21,"North Sumatra","4","0","Full time student","Very well"
"4071","week 5","Male",22,"West Java","3","0","Full time student","Don't know"
"4072","week 5","Male",42,"East Java","3","1","Full time employment","Very well"
"4073","week 5","Male",45,"West Java","4","2","Full time employment","Somewhat well"
"4074","week 5","Male",45,"East Java","7","2","Full time employment","Don't know"
"4075","week 5","Male",37,"Banten","3","1","Part time employment","Don't know"
"4076","week 5","Male",21,"Riau","4","0","Full time student","Somewhat well"
"4077","week 5","Female",55,"Jakarta (Special Capital Region)","4","1","Full time employment","Don't know"
"4078","week 5","Male",60,"Central Kalimantan","3","1","Retired","Don't know"
"4079","week 5","Male",24,"North Sumatra","6","1","Full time employment","Very badly"
"4080","week 5","Female",19,"Jakarta (Special Capital Region)","5","1","Full time employment","Somewhat well"
"4081","week 5","Male",30,"West Java","6","1","Full time employment","Don't know"
"4082","week 5","Female",18,"Jakarta (Special Capital Region)","6","1","Full time student","Don't know"
"4083","week 5","Male",37,"East Kalimantan","4","1","Full time employment","Somewhat well"
"4084","week 5","Male",59,"North Sumatra","4","1","Other","Don't know"
"4085","week 5","Female",19,"South Sumatra","4","0","Full time student","Somewhat badly"
"4086","week 5","Male",30,"West Java","Prefer not to say","Prefer not to say","Full time employment","Somewhat well"
"4087","week 5","Female",27,"Banten","4","1","Part time employment","Somewhat well"
"4088","week 5","Female",37,"West Java","2","0","Part time employment","Don't know"
"4089","week 5","Male",35,"West Java","4","2","Full time employment","Somewhat well"
"4090","week 5","Female",39,"West Java","4","2","Part time employment","Don't know"
"4091","week 5","Female",76,"West Java","3","0","Not working","Don't know"
"4092","week 5","Male",25,"Central Java","7","2","Full time student","Very well"
"4093","week 5","Male",34,"West Java","3","1","Full time employment","Don't know"
"4094","week 5","Female",20,"Lampung","5","0","Not working","Somewhat badly"
"4095","week 5","Male",20,"East Java","5","3","Unemployed","Somewhat badly"
"4096","week 5","Male",26,"East Java","6","1","Full time student","Somewhat well"
"4097","week 5","Male",20,"West Kalimantan","4","0","Full time employment","Very well"
"4098","week 5","Male",23,"Central Java","5","1","Full time employment","Somewhat well"
"4099","week 5","Male",28,"Jakarta (Special Capital Region)","4","1","Full time employment","Somewhat well"
"4100","week 5","Male",25,"Central Java","2","2","Full time employment","Don't know"
"4101","week 5","Male",27,"Banten","3","0","Unemployed","Very well"
"4102","week 5","Female",20,"East Java","4","1","Full time employment","Very well"
"4103","week 5","Male",37,"West Java","5","2","Part time employment","Very well"
"4104","week 5","Female",38,"East Java","2","1","Full time employment","Don't know"
"4105","week 5","Male",36,"Banten","6","0","Part time employment","Don't know"
"4106","week 5","Female",27,"West Java","5","0","Unemployed","Don't know"
"4107","week 5","Female",21,"North Sumatra","7","3","Full time student","Somewhat well"
"4108","week 5","Male",21,"Yogyakarta (Special Region)","8 or more","2","Full time student","Don't know"
"4109","week 5","Male",21,"East Java","5","2","Full time student","Don't know"
"4110","week 5","Female",29,"Central Java","2","0","Full time employment","Somewhat well"
"4111","week 5","Male",20,"Central Java","4","1","Unemployed","Very well"
"4112","week 5","Female",22,"Central Java","3","0","Not working","Somewhat badly"
"4113","week 5","Female",32,"Jakarta (Special Capital Region)","4","1","Not working","Very well"
"4114","week 5","Female",21,"Jakarta (Special Capital Region)","5","0","Full time student","Don't know"
"4115","week 5","Female",20,"West Java","4","0","Full time student","Somewhat well"
"4116","week 5","Female",19,"Riau","7","1","Full time student","Somewhat badly"
"4117","week 5","Male",31,"North Sumatra","3","0","Full time employment","Very well"
"4118","week 5","Male",20,"West Java","5","1","Full time student","Somewhat well"
"4119","week 5","Female",36,"Jakarta (Special Capital Region)","7","0","Full time employment","Very badly"
"4120","week 5","Female",50,"West Java","3","1","Part time employment","Somewhat well"
"4121","week 5","Female",19,"Central Java","5","1","Full time student","Somewhat badly"
"4122","week 5","Male",31,"West Java","6","2","Full time employment","Very well"
"4123","week 5","Male",24,"East Java","Don't know","4","Other","Very well"
"4124","week 5","Female",24,"Jakarta (Special Capital Region)","7","1","Not working","Don't know"
"4125","week 5","Male",29,"West Java","4","0","Full time student","Somewhat well"
"4126","week 5","Female",29,"Banten","3","0","Full time employment","Very badly"
"4127","week 5","Female",32,"Aceh (Special Region)","2","2","Unemployed","Somewhat badly"
"4128","week 5","Female",30,"Jakarta (Special Capital Region)","4","2","Full time employment","Don't know"
"4129","week 5","Female",23,"Banten","2","0","Not working","Don't know"
"4130","week 5","Female",28,"Jambi","7","0","Part time employment","Very well"
"4131","week 5","Female",25,"Jakarta (Special Capital Region)","7","0","Full time employment","Don't know"
"4132","week 5","Female",22,"West Java","3","0","Full time student","Very badly"
"4133","week 5","Male",22,"West Java","5","0","Full time student","Somewhat well"
"4134","week 5","Male",34,"East Java","2","0","Full time employment","Somewhat badly"
"4135","week 5","Male",38,"East Java","4","2","Full time employment","Very well"
"4136","week 5","Male",18,"East Java","6","1","Part time employment","Somewhat badly"
"4137","week 5","Female",55,"West Java","3","0","Part time employment","Don't know"
"4138","week 5","Female",47,"Central Java","5","1","Full time employment","Somewhat well"
"4139","week 5","Male",19,"West Java","3","0","Full time student","Somewhat badly"
"4140","week 5","Male",41,"Central Kalimantan","6","2","Part time employment","Very well"
"4141","week 5","Male",32,"West Java","5","0","Unemployed","Somewhat well"
"4142","week 5","Female",18,"East Nusa Tenggara","5","1","Full time student","Very well"
"4143","week 5","Male",21,"Central Kalimantan","4","0","Full time student","Very well"
"4144","week 5","Male",28,"Jakarta (Special Capital Region)","2","0","Full time employment","Somewhat well"
"4145","week 5","Female",21,"East Java","4","0","Full time student","Don't know"
"4146","week 5","Female",29,"West Nusa Tenggara","8 or more","2","Full time employment","Somewhat well"
"4147","week 5","Male",32,"Riau","3","1","Full time employment","Somewhat well"
